"","Player","Team","Season","Position","Minutes","Goals Added"
"","Gastón Sauro","CLB","2015","CB","286","0.44"
"","Mac Steeves","HOU","2018","AM","41","0.44"
"","Aboubacar Keita","CLB","2019","CB","890","0.44"
"","Laurent Courtois","LAG, CHV","2013","W","406","0.44"
"","Héctor Jiménez","CLB","2018","FB","731","0.44"
"","Sherjill MacDonald","CHI","2013","ST","631","0.44"
"","Johan Kappelhof","CHI","2019","FB","2798","0.44"
"","Nick Besler","RSL","2019","DM","837","0.44"
"","Eric Hassli","FCD","2013","ST","501","0.43"
"","Luis Argudo","CLB","2019","W","1198","0.43"
"","Brad Smith","SEA","2018","FB","485","0.43"
"","Pablo Mastroeni","LAG, COL","2013","CM","635","0.43"
"","Diego Campos","CHI","2019","FB","487","0.43"
"","Dairon Asprilla","POR","2018","ST","793","0.43"
"","Corey Hertzog","VAN","2013","ST","444","0.43"
"","Alhaji Kamara","DCU","2016","ST","208","0.43"
"","Jacob Peterson","SKC","2013","W","924","0.43"
"","Juan David Cabezas","HOU","2018","DM","317","0.43"
"","Jasser Khmiri","VAN","2019","CB","98","0.43"
"","Kofi Sarkodie","SJE","2017","FB","1409","0.43"
"","Erickson Gallardo","TOR","2019","W","259","0.42"
"","Juan Luis Anangonó","CHI","2014","ST","568","0.42"
"","Justen Glad","RSL","2017","CB","1759","0.42"
"","Mohammed Abu","CLB","2018","DM","113","0.42"
"","Aljaz Struna","HOU","2019","CB","2885","0.42"
"","Peter Luccin","FCD","2014","CM","297","0.42"
"","Darrius Barnes","NER","2014","FB","1767","0.42"
"","Brad Evans","SEA","2017","FB","517","0.42"
"","Lamine Sané","ORL","2018","CB","1491","0.42"
"","Patrice Bernier","MTL","2015","DM","779","0.42"
"","Robert Earnshaw","VAN","2015","AM","80","0.42"
"","Aníbal Godoy","SJE","2019","CM","1480","0.42"
"","Rodolfo Zelaya","LAFC","2019","W","137","0.42"
"","Jimmy Medranda","SKC","2015","W","447","0.42"
"","Antoine Hoppenot","PHI","2014","ST","275","0.42"
"","Chris Schuler","ORL","2018","CB","860","0.42"
"","Jimmy Medranda","SKC","2019","CM","237","0.42"
"","Danny Wilson","COL","2018","CB","2124","0.41"
"","Niko Hansen","CLB, HOU","2019","W","372","0.41"
"","Drew Conner","CHI","2017","FB","985","0.41"
"","Andreas Ivan","NYRB","2018","W","249","0.41"
"","Kenney Walker","LAG","2014","CM","373","0.41"
"","Konrad Warzycha","CLB","2013","CM","344","0.41"
"","A.J. DeLaGarza","HOU","2018","FB","395","0.41"
"","Sebastián Jaime","RSL","2015","W","1338","0.41"
"","Kalifa Cissé","NER","2013","CM","486","0.41"
"","Jordi Quintillà","SKC","2015","CM","312","0.41"
"","Dylan Remick","HOU","2017","FB","1264","0.41"
"","Vincent Bezecourt","NYRB","2018","DM","442","0.41"
"","Tony Alfaro","SEA","2016","CB","316","0.41"
"","Peter Luccin","FCD","2013","DM","214","0.41"
"","Blas Pérez","VAN","2016","ST","882","0.41"
"","Mekeil Williams","COL","2017","FB","1526","0.41"
"","John Nelson","FCD","2019","FB","526","0.40"
"","Fraser Aird","VAN","2016","FB","1566","0.40"
"","Collen Warner","MIN","2018","DM","1356","0.40"
"","Mikey Lopez","NYC","2017","DM","675","0.40"
"","Patrick Doody","CHI","2015","FB","608","0.40"
"","Sebastian Velasquez","NYC","2015","W","496","0.40"
"","Logan Pause","CHI","2013","CM","982","0.40"
"","Víctor Cabrera","MTL","2017","CB","1614","0.40"
"","Jermaine Taylor","MIN","2017","FB","764","0.40"
"","Abu Danladi","MIN","2017","ST","1525","0.40"
"","Jonathan Bornstein","CHI","2019","FB","996","0.40"
"","Chris Pontius","DCU","2014","W","301","0.40"
"","Agustín Viana","CLB","2014","DM","314","0.40"
"","Ken Krolicki","MTL","2018","CM","1716","0.40"
"","Clement Simonin","TOR","2015","CB","180","0.40"
"","Joshua Smith","NER","2017","CB","577","0.40"
"","João Moutinho","LAFC","2018","FB","969","0.40"
"","Joaquin Velázquez","CHV","2013","CB","1066","0.39"
"","Ethan Kutler","NYRB","2018","FB","113","0.39"
"","Jay Chapman","TOR","2015","W","246","0.39"
"","Ashtone Morgan","TOR","2017","FB","316","0.39"
"","Jukka Raitala","CLB","2017","FB","2090","0.39"
"","Moisés Hernández","FCD","2015","FB","1056","0.39"
"","Eric Remedi","ATL","2018","CM","1194","0.39"
"","Darrius Barnes","NER","2015","FB","430","0.39"
"","Julian Büscher","DCU","2017","AM","214","0.39"
"","Innocent Emeghara","SJE","2015","W","540","0.39"
"","Christian Dean","VAN","2015","FB","323","0.39"
"","A.J. DeLaGarza","LAG","2015","FB","2096","0.39"
"","Ryan Guy","NER","2013","W","689","0.38"
"","Miguel Aguilar","DCU","2015","W","619","0.38"
"","Cam Weaver","SEA","2014","ST","50","0.38"
"","Sebastian Velasquez","RSL","2014","CM","269","0.38"
"","Aurélien Collin","NYRB","2017","CB","609","0.38"
"","Will Bruin","SEA","2019","ST","473","0.38"
"","Dillon Powers","ORL","2019","CM","685","0.38"
"","Mike Fucito","SJE","2013","ST","266","0.37"
"","Ethan White","NYC","2017","FB","1663","0.37"
"","Benjamin Speas","CLB","2013","W","1024","0.37"
"","Johan Blomberg","COL","2018","CM","1791","0.37"
"","Michael Salazar","MTL","2017","W","766","0.37"
"","Jordan Smith","VAN","2016","FB","1366","0.37"
"","Kris Tyrpak","CHV","2014","W","208","0.37"
"","Marc Burch","COL","2015","FB","778","0.37"
"","Justin Morrow","SJE","2013","FB","2128","0.37"
"","Ibrahim Sekagya","NYRB","2013","CB","765","0.37"
"","Raphael Augusto","DCU","2013","CM","412","0.36"
"","Ramiro Corrales","SJE","2013","W","919","0.36"
"","Oscar Sorto","LAG","2015","FB","292","0.36"
"","Ariel Lassiter","LAG","2018","ST","111","0.36"
"","Mike Magee","CHI","2015","ST","423","0.36"
"","Rasmus Schüller","MIN","2019","CM","1004","0.36"
"","Mauro Rosales","VAN","2017","W","71","0.36"
"","Marco Donadel","MTL","2018","CB","109","0.36"
"","Thomas","SEA","2015","W","586","0.36"
"","Caleb Calvert","COL","2016","W","210","0.36"
"","Henry Wingo","SEA","2018","W","175","0.36"
"","Mo Adams","CHI","2018","CM","994","0.36"
"","Roy Miller","NYRB","2015","FB","477","0.36"
"","Taylor Peay","POR","2015","FB","349","0.35"
"","Josh Gardner","SKC","2013","FB","284","0.35"
"","Andraz Struna","NYC","2017","FB","345","0.35"
"","Mariano Miño","TOR","2018","CM","29","0.35"
"","Ryan Hollingshead","FCD","2018","FB","904","0.35"
"","Rafael García","LAG","2013","CM","266","0.35"
"","Femi Hollinger-Janzen","NER","2016","ST","376","0.35"
"","Chad Marshall","SEA","2019","CB","779","0.35"
"","Henry Wingo","SEA","2019","W","235","0.35"
"","Clyde Simms","NER","2013","CM","727","0.35"
"","Florian Valot","NYRB","2019","CM","135","0.35"
"","Kellyn Acosta","COL, FCD","2018","CM","1893","0.35"
"","Phanuel Kavita","RSL","2015","CB","194","0.35"
"","Brian Wright","NER","2018","ST","314","0.34"
"","Chris Ritter","CHI","2015","CM","429","0.34"
"","RJ Allen","NYC","2017","FB","1098","0.34"
"","Gideon Baah","NYRB","2016","CB","515","0.34"
"","Bryan Reynolds","FCD","2019","W","181","0.34"
"","Maikel van der Werff","CIN","2019","CB","1097","0.34"
"","Nicolás Mezquida","VAN","2014","W","495","0.34"
"","Lewis Neal","DCU","2013","CM","544","0.34"
"","Pablo Aránguiz","FCD","2019","W","632","0.34"
"","Samuel","LAG","2014","ST","386","0.34"
"","Dennis Iapichino","MTL, DCU","2013","FB","1207","0.33"
"","Seth Sinovic","SKC","2019","FB","2080","0.33"
"","Ismaila Jome","MIN","2017","FB","742","0.33"
"","Cristian Higuita","ORL","2018","DM","1446","0.33"
"","Claudio Bieler","SKC","2014","ST","481","0.33"
"","James Riley","LAG","2014","FB","271","0.33"
"","Chandler Hoffman","LAG","2014","CM","97","0.33"
"","Ryan Finley","CHV","2014","ST","517","0.33"
"","Atiba Harris","SJE","2014","W","1714","0.33"
"","Chris Schuler","RSL","2015","CB","493","0.33"
"","Jeff Parke","PHI","2013","CB","2982","0.33"
"","Anton Nedyalkov","FCD","2018","FB","844","0.33"
"","Nicolás Mezquida","VAN","2017","AM","773","0.33"
"","Ashtone Morgan","TOR","2016","W","198","0.33"
"","Carlos Rivas","NYRB","2018","W","294","0.33"
"","Kemar Lawrence","NYRB","2016","FB","1962","0.32"
"","Jeremy Hall","TOR","2013","CM","2475","0.32"
"","Ezequiel Cirigliano","FCD","2015","DM","466","0.32"
"","Doneil Henry","TOR","2013","CB","1781","0.32"
"","Marc Burch","MIN","2018","FB","453","0.32"
"","Tom Barlow","NYRB","2019","ST","661","0.32"
"","Shaun Francis","MTL, SJE","2017","FB","1135","0.32"
"","Kevan George","CLB","2015","DM","311","0.32"
"","Ishmael Yartey","POR","2015","W","250","0.32"
"","Ethan White","PHI","2014","CB","1123","0.32"
"","Brad Ring","SJE","2013","CB","292","0.32"
"","Andre Akpan","COL, NYRB","2013","ST","181","0.32"
"","Hernán Bernardello","MTL","2017","DM","1619","0.32"
"","John Stertzer","RSL","2016","CM","866","0.32"
"","Hendry Thomas","FCD","2014","DM","835","0.32"
"","Ben Mines","NYRB","2018","W","96","0.32"
"","Tristan Bowen","CHV","2013","ST","1271","0.31"
"","Lamar Neagle","DCU, SEA","2017","W","1383","0.31"
"","Jalil Anibaba","SEA","2014","CB","1388","0.31"
"","Chris Schuler","RSL","2013","CB","1563","0.31"
"","Danilo Acosta","RSL","2017","FB","1516","0.31"
"","Chris Ritter","CHI","2014","CM","681","0.31"
"","Sean Franklin","VAN","2018","FB","934","0.31"
"","Eryk Williamson","POR","2019","CM","261","0.31"
"","Ben Spencer","TOR","2018","ST","88","0.31"
"","Axel Sjöberg","COL","2018","CB","1478","0.31"
"","Omar Cummings","HOU","2013","ST","248","0.31"
"","Andrew Carleton","ATL","2018","W","190","0.30"
"","Jack McBean","LAG","2016","ST","115","0.30"
"","Harry Novillo","MTL","2019","W","502","0.30"
"","Oniel Fisher","SEA","2017","FB","568","0.30"
"","Mohammed Abu","CLB","2017","DM","1389","0.30"
"","Cristian Martínez","CHI","2019","W","80","0.30"
"","Stephen Keel","FCD","2014","CB","1428","0.30"
"","Adam Lundkvist","HOU","2018","FB","1343","0.30"
"","Luke Mulholland","RSL","2018","DM","98","0.30"
"","David Horst","HOU","2016","CB","2401","0.30"
"","Jaime Frías","CHV","2013","FB","280","0.30"
"","Ben Sweat","NYC","2019","FB","1410","0.30"
"","Kofi Opare","LAG","2014","CB","529","0.30"
"","Bobby Burling","COL","2017","CB","838","0.30"
"","Marlon Hairston","HOU","2019","W","477","0.30"
"","Jared Jeffrey","DCU","2014","CM","378","0.30"
"","Róger Torres","PHI","2013","DM","96","0.30"
"","Jack Barmby","POR","2017","W","156","0.29"
"","Daigo Kobayashi","NER","2017","CM","549","0.29"
"","Álvaro Fernández","SEA","2017","W","529","0.29"
"","Kofi Opare","LAG","2013","CB","563","0.29"
"","Anthony Jackson-Hamel","MTL","2015","ST","185","0.29"
"","Dane Richards","NYRB","2015","W","325","0.29"
"","Adolfo Bautista","CHV","2014","ST","189","0.29"
"","Jay DeMerit","VAN","2013","CB","658","0.29"
"","Deshorn Brown","DCU","2017","ST","858","0.29"
"","Anderson Conceicão","PHI","2016","CB","96","0.29"
"","Jesús Ferreira","FCD","2017","W","23","0.29"
"","J.J. Koval","SJE","2014","CM","1080","0.29"
"","Giovani Casillas","CHV","2013","ST","209","0.28"
"","Dylan Remick","SEA","2016","FB","584","0.28"
"","Patrick Ianni","SEA","2013","CB","767","0.28"
"","Conor Doyle","DCU","2014","ST","391","0.28"
"","Amobi Okugo","POR","2017","CB","449","0.28"
"","Je-Vaughn Watson","NER","2017","FB","866","0.28"
"","Andrés Romero","MTL","2017","W","486","0.28"
"","Chance Myers","SKC","2015","FB","900","0.28"
"","Daniel Johnson","CHI","2017","W","168","0.28"
"","Memo Rodríguez","HOU","2017","W","367","0.28"
"","Jeisson Vargas","MTL","2018","ST","959","0.27"
"","Erik Hurtado","VAN","2013","W","568","0.27"
"","Niki Jackson","COL","2018","ST","538","0.27"
"","Justin Schmidt","RSL","2017","CB","725","0.27"
"","John Bostock","TOR","2013","W","426","0.27"
"","Zach Scott","SEA","2014","CB","1506","0.27"
"","Marco Farfan","POR","2017","FB","444","0.27"
"","Richie Laryea","ORL","2018","W","303","0.27"
"","Facundo Coria","DCU","2015","ST","169","0.27"
"","Andreu Fontàs","SKC","2018","CB","106","0.27"
"","Ashtone Morgan","TOR","2015","FB","1657","0.27"
"","Gláuber","CLB","2013","CB","1255","0.27"
"","Kofi Opare","DCU","2016","CB","926","0.26"
"","Eric Alexander","HOU","2018","DM","1812","0.26"
"","Alex Caskey","DCU","2014","W","252","0.26"
"","Eric Miller","COL","2016","FB","2288","0.26"
"","Johan Venegas","MTL","2016","W","786","0.26"
"","Adrian Winter","ORL","2015","W","641","0.26"
"","Cristian Martínez","CLB","2017","AM","275","0.26"
"","Andrea Pisanu","MTL","2013","W","684","0.26"
"","Amobi Okugo","POR","2016","CB","255","0.26"
"","Ned Grabavoy","POR","2016","W","753","0.26"
"","Tosaint Ricketts","VAN","2019","ST","523","0.26"
"","Bobby Convey","NYRB","2014","FB","816","0.26"
"","Omar Holness","RSL","2016","CM","332","0.26"
"","Dillon Serna","COL","2019","FB","671","0.26"
"","José Aja","ORL","2016","CB","900","0.26"
"","Amro Tarek","ORL","2018","CB","1861","0.26"
"","Andrew Wiedeman","TOR","2014","W","129","0.26"
"","Drew Conner","CHI","2018","FB","526","0.26"
"","Brian Brown","PHI","2014","ST","273","0.26"
"","Jeremy Ebobisse","POR","2017","ST","386","0.25"
"","Abdoulie Mansally","RSL","2014","FB","721","0.25"
"","Tyler Turner","ORL","2015","FB","514","0.25"
"","Steven Kinney","CHI","2014","FB","144","0.25"
"","Andreas Ivanschitz","SEA","2015","W","462","0.25"
"","Sebastian Anderson","COL","2019","FB","337","0.25"
"","Michael Stephens","LAG","2013","W","855","0.25"
"","Abdul Rwatubyaye","SKC","2019","CB","181","0.25"
"","Luke Mishu","DCU","2016","FB","490","0.25"
"","Román Torres","SEA","2015","CB","336","0.25"
"","Shaun Francis","SJE","2016","FB","1644","0.25"
"","Brian Ownby","HOU","2013","DM","71","0.25"
"","Sebastián Saucedo","RSL","2015","W","210","0.25"
"","Jesús Ferreira","FCD","2018","W","9","0.24"
"","Erik Hurtado","VAN","2015","W","235","0.24"
"","José Villarreal","LAG","2015","W","756","0.24"
"","Abu Danladi","MIN","2018","ST","562","0.24"
"","Fatai Alashe","CIN","2019","CM","501","0.24"
"","Charles Eloundou","COL","2014","W","475","0.24"
"","Davy Armstrong","COL","2014","FB","75","0.24"
"","Lionard Pajoy","DCU","2013","ST","1245","0.24"
"","Jeanderson","POR","2015","FB","103","0.24"
"","Ben Zemanski","POR","2014","DM","821","0.24"
"","Ignacio Piatti","MTL","2019","W","831","0.24"
"","Aaron Kovar","SEA","2017","W","232","0.24"
"","Carlos Ruiz","FCD","2016","DM","22","0.24"
"","J.J. Williams","CLB","2019","ST","368","0.24"
"","Niko Hämäläinen","LAFC","2019","FB","114","0.24"
"","Miller Bolaños","CHV","2013","W","256","0.24"
"","Rece Buckmaster","NYRB","2019","FB","597","0.24"
"","Lewis Neal","DCU","2014","W","1037","0.24"
"","Christian Dean","VAN, CHI","2017","CB","490","0.24"
"","Aurélien Collin","NYRB","2018","CB","381","0.24"
"","Danny Califf","TOR","2013","CB","380","0.24"
"","Walker Zimmerman","FCD","2013","CB","460","0.23"
"","Tommy Redding","ORL","2017","CB","1536","0.23"
"","Jared Watts","HOU","2018","CB","585","0.23"
"","Caleb Stanko","CIN","2019","DM","1587","0.23"
"","Landon Donovan","LAG","2016","W","270","0.23"
"","Hernán Bernardello","MTL","2016","CM","1078","0.23"
"","Jordan Allen","RSL","2017","W","115","0.23"
"","Mark Sherrod","SJE","2015","ST","258","0.23"
"","Collin Martin","MIN","2017","DM","684","0.23"
"","Ricardo Velazco","RSL","2017","W","302","0.23"
"","Michael Ciani","LAG","2018","CB","1776","0.23"
"","Karl Ouimette","NYRB","2015","CB","781","0.23"
"","Tommy Meyer","LAG","2013","CB","534","0.23"
"","Sam Cruz Garza","SJE","2013","W","124","0.23"
"","Calum Mallace","MTL","2017","DM","333","0.23"
"","Sam Adekugbe","VAN","2014","FB","222","0.23"
"","Bill Tuiloma","POR","2018","CB","804","0.22"
"","Andy Craven","SEA","2015","ST","85","0.22"
"","José Hernández","RSL","2017","W","196","0.22"
"","Walter Restrepo","PHI","2016","ST","104","0.22"
"","Victor Arboleda","POR","2017","W","77","0.22"
"","Donnie Smith","NER","2016","FB","236","0.22"
"","Anthony Wallace","NYRB","2015","FB","580","0.22"
"","Mark Bloom","TOR","2016","FB","363","0.22"
"","Erik Holt","RSL","2019","CB","403","0.22"
"","Mehdi Ballouchy","SJE","2013","W","141","0.22"
"","Simon Colyn","VAN","2018","W","9","0.22"
"","George Bello","ATL","2018","FB","193","0.22"
"","Diedie Traore","LAG","2019","FB","244","0.22"
"","Clarence Goodson","SJE","2016","CB","193","0.22"
"","Eriq Zavaleta","SEA","2013","W","59","0.22"
"","Servando Carrasco","ORL","2017","DM","905","0.22"
"","Manolo Sánchez","NYRB","2015","W","39","0.22"
"","Aly Ghazal","VAN","2017","DM","679","0.22"
"","Danilo Silva","LAFC","2019","CB","261","0.22"
"","Ethan Zubak","LAG","2019","ST","57","0.22"
"","Paxton Pomykal","FCD","2018","CM","156","0.22"
"","Mechack Jerome","SKC","2013","FB","741","0.21"
"","Zach Loyd","FCD","2016","CB","998","0.21"
"","Keyner Brown","HOU","2016","CB","315","0.21"
"","Mauro Manotas","HOU","2015","ST","146","0.21"
"","Hunter Jumper","CHI","2013","CB","194","0.21"
"","Henry Wingo","SEA","2017","FB","192","0.21"
"","Mike Grella","CLB","2018","W","535","0.21"
"","Josh Sims","NYRB","2019","W","523","0.21"
"","Kwame Watson-Siriboe","NYC","2015","CB","752","0.21"
"","Alexander López","HOU","2013","DM","94","0.21"
"","Alexander López","HOU","2014","DM","310","0.21"
"","Steven Taylor","POR","2016","CB","881","0.21"
"","Louis Béland-Goyette","MTL","2018","CM","130","0.21"
"","Adam Jahn","CLB","2017","ST","412","0.21"
"","Samuel Ochoa","SEA","2013","ST","196","0.21"
"","Gastón Sauro","CLB","2018","CB","576","0.20"
"","Niko Hansen","CLB","2017","W","477","0.20"
"","Maxim Tissot","DCU","2017","FB","97","0.20"
"","Cameron Porter","MTL","2015","ST","46","0.20"
"","Aaron Kovar","SEA","2015","W","220","0.20"
"","Austin Berry","PHI","2014","CB","530","0.20"
"","Kyle Duncan","NYRB","2018","FB","391","0.20"
"","Mehdi Ballouchy","VAN","2014","CM","341","0.20"
"","Michael Bustamante","NYRB","2013","CM","104","0.20"
"","Sal Zizzo","POR","2013","FB","313","0.20"
"","David Carney","NYRB","2013","FB","686","0.20"
"","Jeremiah Gutjahr","CHI","2019","FB","556","0.20"
"","Tommy McCabe","CIN","2019","DM","283","0.20"
"","Fidel Escobar","NYRB","2018","CB","411","0.20"
"","Demar Phillips","RSL","2018","FB","385","0.20"
"","London Woodberry","NER","2017","CB","185","0.20"
"","Tsubasa Endoh","TOR","2017","FB","292","0.20"
"","Chris Odoi-Atsem","DCU","2019","FB","154","0.20"
"","Bruno Miranda","DCU","2017","W","77","0.20"
"","Mark Segbers","NER","2018","FB","50","0.20"
"","Kyle Bekker","TOR","2013","CM","386","0.20"
"","Brian Ownby","HOU","2014","ST","434","0.20"
"","Andrew Wiedeman","TOR","2013","ST","884","0.20"
"","Marco Delgado","CHV","2014","W","1238","0.20"
"","John Goossens","CHI","2017","DM","98","0.20"
"","Michael Nanchoff","POR","2014","W","100","0.19"
"","Emiliano Amor","SKC","2018","CB","375","0.19"
"","Shane O'Neill","COL","2015","CB","316","0.19"
"","Daniel Lovitz","TOR","2015","FB","411","0.19"
"","Kianz Froese","VAN","2015","W","256","0.19"
"","Damien Perrinelle","NYRB","2016","CB","799","0.19"
"","Mathieu Choinière","MTL","2018","W","112","0.19"
"","Pedro Santos","CLB","2017","W","698","0.19"
"","Justin Dhillon","SEA","2019","ST","289","0.19"
"","Patrick Mullins","TOR, CLB","2019","ST","641","0.19"
"","Rod Fanni","MTL","2019","CB","295","0.19"
"","Kevan George","CLB","2013","DM","501","0.19"
"","Matthew Dunn","CHV","2014","CM","447","0.18"
"","Gale Agbossoumonde","TOR","2013","CB","1170","0.18"
"","Jahmir Hyka","SJE","2018","W","980","0.18"
"","Clément Bayiha","MTL","2019","W","530","0.18"
"","Marcos Sánchez","DCU","2013","W","550","0.18"
"","Will Johnson","ORL","2017","CM","2219","0.18"
"","Bobby Warshaw","FCD","2013","DM","177","0.18"
"","José Aja","ORL","2017","CB","1366","0.18"
"","Justin Rennicks","NER","2019","ST","116","0.18"
"","Jalen Robinson","DCU","2018","FB","366","0.18"
"","Mikey Lopez","SKC","2014","CM","522","0.18"
"","Richie Laryea","ORL","2017","CM","326","0.18"
"","Dejan Jakovic","LAFC","2019","CB","200","0.18"
"","Walker Hume","FCD","2017","CB","194","0.17"
"","Alejandro Zendejas","FCD","2015","W","227","0.17"
"","Khari Stephenson","RSL","2013","CM","872","0.17"
"","Jeremy Hall","TOR","2014","CM","202","0.17"
"","Edward Opoku","CLB","2018","W","182","0.17"
"","Djimi Traore","SEA","2014","CB","1246","0.17"
"","Cedrick Mabwati","CLB","2015","W","278","0.17"
"","Anthony Wallace","COL","2013","FB","141","0.17"
"","Sergio Campbell","CLB","2015","CB","96","0.17"
"","Wandrille Lefevre","MTL","2013","CB","437","0.17"
"","Omar Gaber","LAFC","2018","FB","296","0.17"
"","Giliano Wijnaldum","PHI","2017","FB","1236","0.17"
"","Tommy Thompson","SJE","2014","ST","753","0.17"
"","Amando Moreno","CHI","2019","W","111","0.17"
"","Martin Paterson","ORL","2015","W","73","0.17"
"","Aurélien Collin","PHI","2019","CB","590","0.17"
"","Michael Lahoud","PHI","2014","DM","489","0.16"
"","Tony Alfaro","SEA","2018","CB","236","0.16"
"","Andrew Wooten","PHI","2019","ST","393","0.16"
"","Bradford Jamieson","LAG","2016","ST","55","0.16"
"","Connor Lade","NYRB","2013","FB","186","0.16"
"","Tommy Redding","ORL","2015","CB","100","0.16"
"","Joel Qwiberg","SJE","2018","FB","398","0.16"
"","Carlos Ruiz","DCU","2013","ST","571","0.16"
"","Claudio Bieler","SKC","2013","ST","2256","0.16"
"","Daniel Steres","LAG","2018","CB","1453","0.16"
"","Hogan Ephraim","TOR","2013","W","843","0.16"
"","Don Anding","PHI","2013","ST","35","0.16"
"","Raul Mendiola","LAG","2016","W","392","0.16"
"","James Sands","NYC","2018","DM","230","0.16"
"","Cole Bassett","COL","2018","CM","362","0.16"
"","Marco Bustos","VAN","2015","W","34","0.16"
"","Kenney Walker","LAG","2015","DM","320","0.16"
"","Sam Adekugbe","VAN","2013","FB","94","0.16"
"","Brett Levis","VAN","2016","W","11","0.16"
"","José Escalante","HOU","2017","W","44","0.16"
"","Carlyle Mitchell","VAN","2014","CB","778","0.16"
"","Ayo Akinola","TOR","2019","ST","295","0.16"
"","Román Torres","SEA","2016","CB","831","0.16"
"","Taylor Peay","POR","2016","FB","125","0.16"
"","Emanuel Pogatetz","CLB","2014","CB","62","0.16"
"","Ethen Sampson","VAN","2015","FB","90","0.15"
"","Forrest Lasso","CIN","2019","CB","430","0.15"
"","Jordy Delem","SEA","2018","DM","964","0.15"
"","Brian Carroll","PHI","2017","W","46","0.15"
"","Kharlton Belmar","SKC","2018","W","87","0.15"
"","Devon Sandoval","RSL","2014","ST","705","0.15"
"","Ariel Lassiter","LAG","2016","ST","145","0.15"
"","Amro Tarek","CLB","2016","AM","9","0.15"
"","Stephen McCarthy","NER","2014","CB","96","0.15"
"","Daniel Paladini","CLB","2014","DM","236","0.15"
"","Andreas Görlitz","SJE","2014","FB","240","0.15"
"","Michael Videira","CHI","2013","FB","86","0.15"
"","Olivier Mbaizo","PHI","2019","FB","219","0.15"
"","Tommy Redding","NYRB","2018","CB","100","0.15"
"","Darrius Barnes","NER","2013","FB","468","0.15"
"","Raymon Gaddis","PHI","2016","FB","557","0.15"
"","Francois Affolter","SJE","2018","CB","737","0.14"
"","Phanuel Kavita","RSL","2016","CB","100","0.14"
"","Kyle Porter","DCU","2014","W","95","0.14"
"","Leo Fernandes","PHI","2013","CM","312","0.14"
"","A.J. Cochran","HOU","2015","CB","548","0.14"
"","Waylon Francis","CLB","2019","FB","1512","0.14"
"","Marius Obekop","NYRB","2014","W","52","0.14"
"","Marcel de Jong","VAN","2016","FB","511","0.14"
"","Romain Alessandrini","LAG","2019","W","293","0.14"
"","Luke Moore","TOR","2015","ST","691","0.14"
"","Jorge Villafaña","POR","2018","FB","715","0.14"
"","Colin Clark","LAG","2013","W","388","0.14"
"","Jean-Baptiste Pierazzi","SJE","2015","CM","292","0.13"
"","Pecka","RSL","2015","DM","128","0.13"
"","Marcelo","CHI","2019","CB","1268","0.13"
"","Hadji Barry","ORL","2017","W","29","0.13"
"","Clarence Goodson","SJE","2013","CB","847","0.13"
"","Eric Bird","HOU","2018","DM","373","0.13"
"","Aaron Kovar","SEA","2014","W","42","0.13"
"","Edson Buddle","LAG","2015","ST","313","0.13"
"","Collin Martin","MIN","2019","DM","210","0.13"
"","Collen Warner","HOU","2016","DM","2115","0.12"
"","Jared Jeffrey","DCU","2015","CM","62","0.12"
"","Harrison Heath","MIN","2018","DM","148","0.12"
"","Adrien Pérez","LAFC","2019","W","274","0.12"
"","Collin Fernandez","CHI","2016","CM","17","0.12"
"","Charlie Davies","NER","2014","ST","1228","0.12"
"","Grant Lillard","CHI","2019","CB","228","0.12"
"","Jason Hernandez","TOR","2017","CB","581","0.12"
"","Khari Stephenson","SJE","2015","DM","236","0.12"
"","Marius Obekop","NYRB","2015","W","10","0.12"
"","Kevin Kratz","ATL","2017","DM","701","0.12"
"","Florent Sinama-Pongolle","CHI","2014","ST","419","0.12"
"","Chad Barson","CLB","2015","FB","514","0.12"
"","Memo Rodríguez","HOU","2018","W","773","0.12"
"","Cristian Lobato","SKC","2017","W","590","0.12"
"","Jordan Allen","RSL","2014","ST","21","0.12"
"","Maximiliano Urruti","POR, TOR","2013","ST","377","0.12"
"","Warren Creavalle","TOR, PHI","2015","FB","967","0.12"
"","Andrew Wheeler-Omiunu","ATL","2018","CM","26","0.12"
"","Carlos Salcedo","RSL","2013","CB","1152","0.12"
"","Guillermo Hauche","NER","2018","W","193","0.11"
"","Coy Craft","FCD","2015","W","75","0.11"
"","Charlie Rugg","LAG","2013","ST","166","0.11"
"","Michael Lahoud","PHI","2013","CM","519","0.11"
"","Matthew Real","PHI","2019","DM","85","0.11"
"","Kwame Awuah","NYC","2018","DM","170","0.11"
"","Cristian Martínez","CLB","2016","W","221","0.11"
"","Mo Adams","ATL, CHI","2019","DM","652","0.11"
"","Erik Hurtado","SKC","2019","ST","902","0.11"
"","Oscar Sorto","LAG","2014","FB","19","0.10"
"","Dennis Castillo","COL","2017","FB","271","0.10"
"","Danny Koevermans","TOR","2013","ST","98","0.10"
"","Connor Brandt","NYC","2015","CB","14","0.10"
"","João Pedro","LAG","2018","DM","92","0.10"
"","José Villarreal","ORL","2018","DM","62","0.10"
"","Tyson Wahl","CLB","2014","CB","1517","0.10"
"","Mitchell Taintor","TOR","2018","CB","95","0.10"
"","Mechack Jerome","SKC","2014","FB","100","0.10"
"","Ike Opara","SKC","2014","CB","164","0.10"
"","Rafael García","LAG","2014","CM","20","0.09"
"","Ema Twumasi","FCD","2019","FB","42","0.09"
"","Eric Avila","ORL","2015","W","1432","0.09"
